Tick,AntID,Health,MvFwd,MvBck,MvRit,MvLft,Eat,Dig,Hlth,Bld,Nil,Action,Fitness
0,0,100,0.301981,0.9363729,-0.3196258,-0.6605675,0.8466069,0.04619602,0.1680447,0.05281919,0.2340044,BackMove,3.590806
0,1,100,0.3075817,0.9418606,-0.3185329,-0.661576,0.8510885,0.0329751,0.176377,0.07136169,0.2242111,BackMove,3.049771
0,2,100,0.3165534,0.9516104,-0.3181245,-0.6643186,0.8582839,0.01149675,0.189521,0.0996841,0.2080284,BackMove,0.09383789
0,3,100,-0.1144995,0.5746052,-0.479783,-0.6224189,0.4798203,0.6206997,-0.1114402,-0.71055,0.5476124,Dig,4.954064
0,4,100,0.2968997,0.9316201,-0.3209125,-0.659897,0.8425766,0.05802844,0.1606123,0.03580591,0.2426074,BackMove,3.822682
0,5,100,0.3159373,0.9508854,-0.3180659,-0.66406,0.8577969,0.01297139,0.188664,0.09784652,0.2091362,BackMove,0.588739
0,6,100,0.2741385,0.9116542,-0.3284782,-0.658174,0.8247636,0.1090687,0.1293104,-0.04001357,0.2781224,BackMove,4.321806
0,7,100,0.2056999,0.8550981,-0.3573793,-0.6549066,0.7705185,0.2436165,0.05281815,-0.243092,0.3623474,BackMove,4.616823
0,8,100,0.3167175,0.9518051,-0.3181432,-0.6643898,0.858413,0.01110487,0.1897467,0.1001688,0.2077347,BackMove,-0.0236554
0,9,100,0.2952475,-0.07410827,0.1846619,0.1438637,0.7613047,0.9455314,0.07560716,-0.6984162,-0.1579432,Dig,0.8461835
0,10,100,0.6475609,-0.04721801,-0.1962326,0.328147,0.9348511,0.9955425,-0.005292612,-1.051965,-0.4095362,Dig,3.206431
0,11,100,0.6853055,-0.03435633,-0.240939,0.348956,-0.05982959,-0.003649831,-0.000456579,-1.074669,-0.4300938,ForwardMove,4.486025
0,12,100,0.2713136,-0.08516063,0.2038466,0.1324872,0.7499964,0.9443308,0.0715449,-0.6744176,-0.1575317,Dig,-0.2004749
0,13,100,0.6675144,-0.04351303,-0.2212122,0.3393959,0.9395167,0.9970019,-0.007111917,-1.065744,-0.4249801,Dig,3.674406
0,14,100,0.2728193,-0.08437095,0.2027429,0.1331266,0.7506337,0.9443969,0.07190058,-0.6758357,-0.1573899,Dig,-0.1124994
0,15,100,0.6554961,-0.04622315,-0.2063138,0.3326361,0.9369957,0.996283,-0.006649665,-1.057728,-0.4163172,Dig,3.355287
0,16,100,0.6730841,-0.04148096,-0.2277922,0.3424693,0.9402211,0.9970778,-0.006243301,-1.069012,-0.4278668,Dig,3.88868
0,17,100,0.6746411,-0.04079292,-0.2295753,0.343317,0.9403463,0.997059,-0.005828452,-1.069857,-0.4284921,Dig,3.969779
0,18,100,0.2631061,-0.08973987,0.2094846,0.1293432,0.7467242,0.9439417,0.06938085,-0.6669196,-0.1587687,Dig,-0.7675366
0,420,66.66666,-0.2192179,-0.6777788,0.1518545,0.5270984,0.1392919,0.4584503,0.2136823,0.9118433,-0.4772788,Build,0.7766666
1,0,98,0.3015884,0.9359801,-0.3196495,-0.660468,0.8462737,0.04699267,0.1674917,0.05176105,0.2345803,BackMove,1.911098
1,1,99,0.3077551,0.9420396,-0.3184871,-0.6616078,0.8512208,0.03250193,0.1766475,0.07203268,0.2238495,BackMove,1.324203
1,2,99,0.316591,0.9516776,-0.3181345,-0.6643524,0.8583065,0.01134931,0.1895699,0.09985989,0.2079104,BackMove,-1.648383
1,3,99,-0.1403592,0.5507579,-0.4881235,-0.6198726,0.4543342,-0.3589417,-0.1169236,-0.7307934,0.5554739,Nothing,3.212119
1,4,99,0.2969171,0.9316171,-0.3208652,-0.6598686,0.8425772,0.05792752,0.1606494,0.03600388,0.2425344,BackMove,2.120263
1,5,99,0.3159714,0.9509469,-0.3180728,-0.66409,0.8578172,0.01283119,0.1887107,0.09801672,0.2090229,BackMove,-1.143334
1,6,99,0.2736189,0.9111561,-0.3285981,-0.658078,0.8243295,0.1101382,0.1286314,-0.04152244,0.2788627,BackMove,2.621508
1,7,109,0.2187049,-0.1343751,-0.3514815,-0.6554742,0.7809594,0.2200895,0.06551796,-0.2078614,0.3485246,Eat,3.009152
1,8,99,0.3167136,0.9518234,-0.3181489,-0.6644059,0.858403,0.01105654,0.1897383,0.1002216,0.207691,BackMove,-1.729877
1,9,99,0.2920697,-0.07598213,0.1871088,0.1422857,0.7602776,0.9455923,0.07439172,-0.695949,-0.1586695,Dig,-0.8801568
1,10,99,0.6423329,-0.04888112,-0.1900668,0.3252317,0.9339647,0.9953912,-0.005832543,-1.048734,-0.4067427,Dig,1.484419
1,11,99,0.6846353,-0.03457613,-0.2401075,0.3485844,-0.05995983,-0.003687382,-0.0004749708,-1.074239,-0.429664,ForwardMove,2.736848
1,12,99,0.2695017,-0.08649959,0.2049802,0.1317633,0.74964,0.9444102,0.07053741,-0.6733235,-0.1584412,Dig,-1.919557
1,13,99,0.6638889,-0.04570524,-0.2173065,0.3374067,0.9395123,0.9972481,-0.008924017,-1.064104,-0.4245233,Dig,1.932189
1,14,99,0.2708731,-0.08577567,0.2039909,0.1323279,0.7502208,0.9444766,0.07085786,-0.6746185,-0.1583061,Dig,-1.836512
1,15,99,0.651431,-0.04800048,-0.2016764,0.330375,0.9365871,0.9963293,-0.007727521,-1.055498,-0.4148291,Dig,1.634856
1,16,99,0.6698989,-0.04385798,-0.2245593,0.3407478,0.9404797,0.9974471,-0.008487907,-1.067825,-0.4281544,Dig,2.146242
1,17,99,0.672146,-0.04298966,-0.2271897,0.3419799,0.9407352,0.9974627,-0.008072574,-1.069115,-0.4292473,Dig,2.253113
1,18,99,0.2615257,-0.09097929,0.2103491,0.1288373,0.7464515,0.9439842,0.0684688,-0.6660053,-0.1596748,Dig,-2.487154
1,420,43.77777,-0.2190478,-0.6776925,0.1517561,0.5272573,0.1388891,0.4580528,0.2140887,0.912227,-0.4770229,Build,0.6577777
 
ANTVOLUTION -- GENERATION: 0
Ant: 3 mated with Ant: 7
Average Ant Fitness: 1.588416
 
2,0,96,0.1763334,0.9113206,-0.3987796,-0.7514795,0.8564236,0.08577134,0.3373232,0.09383605,0.01072027,BackMove,0.8024107
