Epoch,Generation,Top Ant Fitness, Queen Fitness, Blocks Built
1,1,3.71065,1.064853,0
1,2,3.564833,1.11,0
1,3,3.391008,1.132094,0
1,4,3.156157,1.196586,0
1,5,2.917914,1.261248,0
1,6,2.623379,1.283609,0
1,7,2.321166,1.31,0
1,8,1.97458,1.323735,0
1,9,1.675823,1.33264,0
1,10,1.547728,1.353173,0
1,11,1.404875,1.382993,0
1,12,1.404501,1.422722,0
1,13,1.397126,1.462496,0
1,14,1.451429,1.505175,0
1,15,1.358689,1.54214,0
1,16,1.355898,1.554643,0
1,17,1.375968,1.542836,0
1,18,1.389416,1.534986,0
1,19,1.395343,1.530933,0
1,20,1.392748,1.530484,0
1,21,1.380531,1.533415,0
1,22,1.357511,1.53949,0
1,23,1.322452,1.548464,0
1,24,1.30002,1.553963,0
1,25,2.259853,1.560096,0
1,26,2.13636,1.574151,0
1,27,1.776878,1.590405,0
1,28,1.428928,1.608651,0
1,29,1.261171,1.628697,0
1,30,1.21416,1.608697,0
1,31,1.236597,1.588697,0
1,32,1.119908,1.568697,0
1,33,1.164451,1.548697,0
1,34,1.225872,1.528697,0
1,35,1.29757,1.508697,0
1,36,1.368526,1.488697,0
1,37,1.428032,1.468697,0
1,38,1.46541,1.448697,0
1,39,1.469338,1.428697,0
1,40,1.429756,1.408697,0
1,41,1.309756,1.388697,0
1,42,1.189756,1.368697,0
1,43,1.069756,1.348697,0
1,44,0.9497563,1.328697,0
1,45,0.8297563,1.308697,0
1,46,0.7097563,1.288697,0
1,47,0.5897563,1.268697,0
1,48,0.4697563,1.248697,0
1,49,0.3497563,1.228697,0
1,50,0.2297563,1.208697,0
1,51,0.2297563,1.208697,0
1,52,0.2297563,1.208697,0
1,53,0.1697563,1.198697,0
1,54,0.1697563,1.198697,0
1,55,0.1097563,1.188697,0
1,56,0.1097563,1.188697,0
1,57,0.1097563,1.188697,0
1,58,0.1097563,1.188697,0
1,59,0.1097563,1.188697,0
2,0,1.325011,1.116667,2
2,1,0.1556453,1.107778,3
2,2,0.0692986,1.087778,3
2,3,-0.02980023,1.067778,3
2,4,-0.1411749,1.047778,3
2,5,-0.2642347,1.027778,3
2,6,-0.3983052,1.007778,3
2,7,-0.5426583,0.9877777,3
2,8,-0.6965419,0.9677777,3
2,9,-0.8592007,0.9477777,3
2,10,-1.00359,0.9277777,3
2,11,-1.12359,0.9077777,3
2,12,-1.24359,0.8877777,3
2,13,-1.36359,0.8677777,3
2,14,-1.48359,0.8477777,3
2,15,-1.60359,0.8277777,3
2,16,-1.72359,0.8077777,3
2,17,-1.84359,0.7877777,3
2,18,-1.96359,0.7677777,3
2,19,-2.08359,0.7477777,3
2,20,-2.20359,0.7277777,3
2,21,-2.32359,0.7077777,3
2,22,-2.44359,0.6877777,3
3,0,3.991241,1.057082,0
